source_product_id,source,1star_count,2star_count,3star_count,4star_count,5star_count,total_count,average_5star,average_pct
ELREDZEH6AA3HFPU,1,1,0,0,1,0,2,2.5,37.5
ELREEH82KSAH3FB4,1,8,0,2,0,1,11,1.727,18.175
ELREEMF6SD37MESP,1,17,3,4,4,4,32,2.219,30.475
ELREF4FVXCYYS6V4,1,8,0,0,0,0,8,1.0,0.0
ELREFAZDPDTPMGPB,1,4,1,0,2,2,9,2.667,41.675
ELREFWW9QKYJZXU9,1,0,1,0,0,1,2,3.5,62.5
ELREHWC73EAK2Z5C,1,0,0,0,2,7,9,4.778,94.45
ELREKB98XNHGQAUV,1,8,0,0,0,3,11,2.091,27.275
ESDD9N8HW9DTPQHU,1,0,0,0,1,4,5,4.8,95.0
ESDDFPSFGMMP4V2P,1,0,0,1,1,1,3,4.0,75.0
ESDE3JNYED5KKBVH,1,1,0,1,1,0,3,2.667,41.675
ESDE3WR8BFRB75E8,1,1,0,0,0,0,1,1.0,0.0
ESDE5MFDFYUFQEZE,1,8,1,3,4,8,24,3.125,53.125
ESDE5MFDJQKRPXZQ,1,3,0,2,5,5,15,3.6,65.0
ESDE5MFDRA4JUZ8Y,1,2,0,1,2,0,5,2.6,40.0
ESDE5MFDTUXNFKDU,1,4,2,2,3,8,19,3.474,61.85
ESDE5MFDVKJHAUNJ,1,4,0,1,4,3,12,3.167,54.175
ESDE6VTR97SSTYZP,1,0,0,1,1,1,3,4.0,75.0
ESDE6VTRBNBRSR9U,1,1,0,1,1,3,6,3.833,70.825
ESDE7GMRBUEZCKHR,1,0,0,1,4,2,7,4.143,78.575
ESDE84FZYEAZWGDX,1,0,0,1,1,11,13,4.769,94.225
ESDE8RHRZ3RWYH6U,1,2,0,0,1,0,3,2.0,25.0
ESDEB8FYZWGWB7VT,1,0,1,0,0,0,1,2.0,25.0
ESDEBGGRPRFTDXVA,1,0,0,0,2,5,7,4.714,92.85
ESDEBGHFKYRKYS9T,1,1,0,1,1,0,3,2.667,41.675
ESDEBHWTHJPXNV3Z,1,2,0,0,0,1,3,2.333,33.325
ESDEBTFVHTFFTYZX,1,1,0,1,1,1,4,3.25,56.25
ESDEBYDNYTRZFUZM,1,0,0,1,6,7,14,4.429,85.725
ESDECF9MMYZTSBNC,1,0,2,2,1,8,13,4.154,78.85
ESDEDF2ZGWVPPRQN,1,4,3,8,4,17,36,3.75,68.75
ESDEDKGJZGD8JDQY,1,0,0,0,2,0,2,4.0,75.0
ESDEFPYPANBRJDPY,1,0,1,0,0,2,3,4.0,75.0
ESDEYFCYPDFESH5P,1,3,0,1,0,0,4,1.5,12.5
KJLE5GVGSQH665HR,1,5,1,2,3,3,14,2.857,46.425
KJLEBHZ8CUGHG6R7,1,4,0,0,0,0,4,1.0,0.0
KJLEBPFHZWJZKZGD,1,11,1,1,0,2,15,1.733,18.325
KJLEDAWZX5HJM5GH,1,1,0,0,1,3,5,4.0,75.0
KJLEFFHHG8AZNHYC,1,0,0,0,1,0,1,4.0,75.0
KJLEFWW9FP9JWARK,1,1,1,0,0,0,2,1.5,12.5
KJLEG4DF7TMGJRAA,1,8,0,0,1,1,10,1.7,17.5
KJLEGE5URSWQYZ5M,1,7,0,0,1,2,10,2.1,27.5
KJLEGKHWPZFGSGPE,1,21,4,3,5,4,37,2.108,27.7
KJLEGU3THNTSPQJY,1,16,1,1,0,1,19,1.368,9.2
KJLEHZXVTYURBGCN,1,6,1,0,3,3,13,2.692,42.3
MCRD9N8QZQCHBTJT,1,5,3,11,5,18,42,3.667,66.675
MCRDTQ8MHZV4EJ9Z,1,0,0,0,0,1,1,5.0,100.0
MCRE4HB7JFHYEFYX,1,2,0,2,0,1,5,2.6,40.0
MCREAFZKXXRGSXSZ,1,2,0,0,0,2,4,3.0,50.0
MCREBJHYMC9CSY7C,1,1,1,0,0,0,2,1.5,12.5
MCRECU3BWMFGWZVH,1,2,0,0,1,0,3,2.0,25.0
MCREF7MGWQM6TFEV,1,0,0,2,2,1,5,3.8,70.0
