Brand_name,TotalPositive__Reviews,Month,Year,positive
revlon,40,1,2017,70.0
revlon,13,2,2017,53.84615384615385
revlon,31,3,2017,74.19354838709677
revlon,61,4,2017,86.88524590163934
revlon,29,5,2017,86.20689655172413
revlon,31,6,2017,67.74193548387096
revlon,18,7,2017,55.55555555555556
revlon,34,8,2017,64.70588235294117
revlon,34,9,2017,85.29411764705883
revlon,32,10,2017,75.0
revlon,2,11,2017,100.0
revlon,15,12,2017,93.33333333333333
colorbar,401,1,2017,73.56608478802993
colorbar,429,2,2017,84.14918414918415
colorbar,313,3,2017,79.55271565495208
colorbar,296,4,2017,70.94594594594594
colorbar,370,5,2017,80.8108108108108
colorbar,355,6,2017,84.78873239436619
colorbar,385,7,2017,83.37662337662337
colorbar,361,8,2017,83.10249307479224
colorbar,345,9,2017,87.53623188405797
colorbar,354,10,2017,91.24293785310734
colorbar,442,11,2017,86.42533936651584
colorbar,300,12,2017,81.66666666666667
maybelline,893,1,2017,61.702127659574465
maybelline,1002,2,2017,71.35728542914171
maybelline,952,3,2017,72.37394957983193
maybelline,942,4,2017,61.46496815286624
maybelline,1384,5,2017,64.66763005780348
maybelline,1165,6,2017,68.49785407725322
maybelline,747,7,2017,61.98125836680054
maybelline,885,8,2017,70.3954802259887
maybelline,1158,9,2017,58.72193436960277
maybelline,1615,10,2017,49.28792569659443
maybelline,1135,11,2017,68.98678414096916
maybelline,1253,12,2017,73.58339984038308
loreal,461,1,2017,75.70498915401302
loreal,621,2,2017,57.1658615136876
loreal,355,3,2017,66.47887323943662
loreal,331,4,2017,56.19335347432024
loreal,646,5,2017,62.07430340557275
loreal,629,6,2017,46.5818759936407
loreal,508,7,2017,67.32283464566929
loreal,260,8,2017,73.46153846153847
loreal,621,9,2017,64.73429951690821
loreal,299,10,2017,64.21404682274247
loreal,288,11,2017,62.5
loreal,301,12,2017,79.40199335548172
coloressence,5,1,2017,40.0
coloressence,17,2,2017,52.94117647058824
coloressence,14,3,2017,35.714285714285715
coloressence,29,4,2017,82.75862068965517
coloressence,40,5,2017,20.0
coloressence,32,6,2017,53.125
coloressence,16,7,2017,56.25
coloressence,5,8,2017,60.0
coloressence,7,9,2017,14.285714285714285
coloressence,9,10,2017,66.66666666666666
coloressence,5,11,2017,40.0
coloressence,11,12,2017,63.63636363636363
lakme,1899,1,2017,76.93522906793049
lakme,1922,2,2017,77.78355879292404
lakme,1646,3,2017,75.273390036452
lakme,1485,4,2017,80.4040404040404
lakme,1827,5,2017,77.17569786535303
lakme,1811,6,2017,81.66758696852567
lakme,1560,7,2017,76.98717948717949
lakme,1650,8,2017,80.84848484848484
lakme,1917,9,2017,78.35159102764736
lakme,2056,10,2017,78.40466926070039
lakme,1450,11,2017,86.20689655172413
lakme,1490,12,2017,82.01342281879195
cameleon,6,1,2017,50.0
cameleon,3,2,2017,66.66666666666666
cameleon,2,3,2017,100.0
cameleon,5,4,2017,100.0
cameleon,7,6,2017,85.71428571428571
cameleon,3,7,2017,100.0
cameleon,1,8,2017,100.0
cameleon,1,9,2017,100.0
cameleon,3,11,2017,100.0
cameleon,12,12,2017,91.66666666666666
chambor,4,1,2017,75.0
chambor,10,2,2017,100.0
chambor,3,6,2017,100.0
chambor,1,8,2017,0.0
chambor,1,11,2017,0.0
chambor,1,12,2017,100.0
avon,80,1,2017,78.75
avon,53,2,2017,94.33962264150944
avon,35,3,2017,80.0
avon,5,4,2017,40.0
avon,28,5,2017,78.57142857142857
avon,35,6,2017,82.85714285714286
avon,61,7,2017,98.36065573770492
avon,51,8,2017,90.19607843137256
avon,26,9,2017,88.46153846153845
avon,56,10,2017,71.42857142857143
avon,6,11,2017,100.0
avon,11,12,2017,90.9090909090909
teen,4,1,2017,75.0
teen,5,2,2017,40.0
teen,2,3,2017,0.0
teen,10,4,2017,60.0
teen,5,5,2017,60.0
teen,1,7,2017,0.0
teen,1,9,2017,100.0
teen,1,11,2017,100.0
glam,3,2,2017,100.0
glam,4,5,2017,50.0
glam,3,6,2017,66.66666666666666
glam,3,7,2017,33.33333333333333
glam,1,8,2017,0.0
glam,1,9,2017,0.0
glam,2,10,2017,50.0
kveda,2,1,2017,100.0
kveda,6,2,2017,50.0
kveda,4,3,2017,25.0
kveda,4,5,2017,100.0
kveda,2,6,2017,100.0
kveda,4,9,2017,100.0
kveda,1,12,2017,100.0
mn,14,1,2017,85.71428571428571
mn,11,2,2017,54.54545454545454
mn,9,3,2017,33.33333333333333
mn,12,5,2017,66.66666666666666
mn,13,6,2017,7.6923076923076925
mn,6,7,2017,83.33333333333334
mn,11,8,2017,63.63636363636363
