source_product_id,source,1star_count,2star_count,3star_count,4star_count,5star_count,total_count,average_5star,average_pct
645058595421,1,3,0,3,6,7,19,3.737,68.425
1509601943,1,0,0,0,2,1,3,4.333,83.325
1284449134,1,0,0,0,0,2,2,5.0,100.0
1788618333,1,0,0,0,2,3,5,4.6,90.0
1808911429,1,1,0,3,4,8,16,4.125,78.125
638054144929,1,0,0,1,0,2,3,4.333,83.325
636120314408,1,0,0,0,0,1,1,5.0,100.0
652894044460,1,0,0,0,0,1,1,5.0,100.0
677721270670,1,1,0,0,1,4,6,4.167,79.175
1083405119,1,1,0,0,0,3,4,4.0,75.0
632594087778,1,0,0,0,0,1,1,5.0,100.0
100566301,1,0,0,0,1,0,1,4.0,75.0
677049734273,1,0,0,1,1,0,2,3.5,62.5
1725173635,1,2,2,0,6,9,19,3.947,73.675
1185735132,1,1,0,0,4,1,6,3.667,66.675
672225795378,1,0,0,1,0,2,3,4.333,83.325
661275816106,1,0,0,1,10,15,26,4.538,88.45
643841921006,1,0,0,0,0,1,1,5.0,100.0
1351072,1,0,1,0,2,4,7,4.286,82.15
1351143,1,0,1,0,0,0,1,2.0,25.0
1259276,1,1,0,0,5,3,9,4.0,75.0
1351107,1,0,0,0,1,0,1,4.0,75.0
1351081,1,0,0,1,0,0,1,3.0,50.0
232732,1,0,0,0,1,0,1,4.0,75.0
633515131384,1,0,0,0,1,2,3,4.667,91.675
664049875200,1,0,0,0,1,2,3,4.667,91.675
498672492,1,1,0,0,0,0,1,1.0,0.0
1463781,1,1,0,2,0,0,3,2.333,33.325
1032125616,1,0,1,0,0,5,6,4.5,87.5
675328089967,1,1,0,1,2,16,20,4.6,90.0
535235531,1,7,0,2,14,28,51,4.098,77.45
677019119829,1,3,0,1,1,3,8,3.125,53.125
664885219735,1,0,0,0,0,2,2,5.0,100.0
848941721,1,0,0,1,4,4,9,4.333,83.325
680591267030,1,0,0,0,1,1,2,4.5,87.5
799600135,1,0,0,2,2,4,8,4.25,81.25
2095561281,1,2,0,5,19,44,70,4.471,86.775
686709603541,1,0,0,0,3,15,18,4.833,95.825
6478,1,18,32,78,354,420,902,4.248,81.2
14986,1,7,10,62,251,319,649,4.333,83.325
25727,1,1,4,2,7,10,24,3.875,71.875
26658,1,4,2,27,86,200,319,4.492,87.3
44879,1,7,8,38,85,116,254,4.161,79.025
108481,1,1,6,16,98,225,346,4.561,89.025
2145,1,20,20,81,301,386,808,4.254,81.35
73137,1,5,15,82,427,919,1448,4.547,88.675
15262,1,9,11,42,142,174,378,4.22,80.5
7144,1,10,12,59,115,95,291,3.938,73.45
18412,1,2,6,13,90,320,431,4.671,91.775
32165,1,1,0,0,7,13,21,4.476,86.9
90470,1,2,0,13,70,425,510,4.796,94.9
90475,1,2,4,5,31,132,174,4.649,91.225
25360,1,1,1,2,5,7,16,4.0,75.0
38009,1,3,2,11,16,30,62,4.097,77.425
11930,1,5,3,8,40,58,114,4.254,81.35
479,1,1,3,3,26,56,89,4.494,87.35
1108,1,2,1,6,10,23,42,4.214,80.35
20759,1,9,7,28,135,245,424,4.415,85.375
310,1,0,2,11,45,51,109,4.33,83.25
39570,1,1,5,17,30,73,126,4.341,83.525
77503,1,1,1,13,29,48,92,4.326,83.15
29335,1,15,23,45,92,76,251,3.761,69.025
7588,1,8,6,14,53,73,154,4.149,78.725
90492,1,1,0,1,14,80,96,4.792,94.8
21877,1,0,0,0,5,18,23,4.783,94.575
11501,1,4,5,22,85,197,313,4.489,87.225
18500,1,23,20,63,165,197,468,4.053,76.325
39576,1,1,1,8,23,52,85,4.459,86.475
108471,1,0,2,3,7,14,26,4.269,81.725
1047,1,6,3,17,49,71,146,4.205,80.125
24093,1,4,15,52,130,176,377,4.218,80.45
22077,1,3,1,13,21,41,79,4.215,80.375
30588,1,0,1,2,0,3,6,3.833,70.825
26149,1,0,1,3,11,8,23,4.13,78.25
110406,1,3,6,8,56,122,195,4.477,86.925
33945,1,2,3,10,18,17,50,3.9,72.5
55103,1,0,0,5,5,6,16,4.063,76.575
4959,1,3,0,5,18,33,59,4.322,83.05
11921,1,1,1,1,9,9,21,4.143,78.575
2111,1,0,0,1,4,3,8,4.25,81.25
90111,1,1,1,5,18,68,93,4.624,90.6
90344,1,3,2,8,58,270,341,4.73,93.25
11511,1,0,0,4,10,14,28,4.357,83.925
90317,1,0,0,1,5,17,23,4.696,92.4
90341,1,0,2,1,0,3,6,3.667,66.675
41460,1,2,2,9,42,47,102,4.275,81.875
