,brand,Trend
0,aquaguard,846
1,eureka,2912
2,hul,259
3,kent,2527
4,lg,2
5,livpure,1555
6,panasonic,39
7,prestige,1
8,pureit,896
9,tata,376
10,whirlpool,14
11,a.o.smith,0
12,blue,18
13,moonbow,11
14,aqua,25
15,protek,259
16,nasaka,7
17,dr.,48
