source_product_id,source,1star_count,2star_count,3star_count,4star_count,5star_count,total_count,average_5star,average_pct
B01C42I1NE,1,10,3,2,3,13,31,3.194,54.85
B01C42I4Z4,1,7,2,2,5,9,25,3.28,57.0
B01GO5VRZG,1,0,2,2,12,38,54,4.593,89.825
B01GOAWVUG,1,0,0,0,14,21,35,4.6,90.0
B01GT8JXTU,1,0,1,3,1,15,20,4.5,87.5
B01GT8JXV8,1,3,0,7,15,17,42,4.024,75.6
B01I5GX46W,1,13,4,4,14,23,58,3.517,62.925
B01LNT7XU6,1,1,0,1,1,2,5,3.6,65.0
B06X1872QT,1,5,3,2,8,27,45,4.089,77.225
B074QW1S9Q,1,9,3,2,20,40,74,4.068,76.7
224907,1,0,0,4,19,92,115,4.765,94.125
137837,1,0,1,0,5,37,43,4.814,95.35
5997,1,11,14,42,301,644,1012,4.535,88.375
218609,1,1,0,1,5,37,44,4.75,93.75
70780,1,1,2,5,49,98,155,4.555,88.875
28273,1,3,4,28,172,549,756,4.667,91.675
28076,1,4,8,24,81,147,264,4.36,84.0
14960,1,7,12,25,172,391,607,4.529,88.225
6000,1,2,0,10,63,139,214,4.575,89.375
60555,1,13,15,27,193,324,572,4.399,84.975
10706,1,0,5,13,26,35,79,4.152,78.8
6087,1,4,8,20,71,91,194,4.222,80.55
39993,1,2,1,3,19,28,53,4.321,83.025
158781,1,0,1,4,12,31,48,4.521,88.025
39986,1,1,2,8,22,15,48,4.0,75.0
28049,1,0,0,0,18,53,71,4.746,93.65
157434,1,0,0,3,7,9,19,4.316,82.9
12545,1,3,3,15,65,109,195,4.405,85.125
11257,1,0,1,8,51,71,131,4.466,86.65
218610,1,0,0,0,1,8,9,4.889,97.225
2581,1,8,12,23,89,128,260,4.219,80.475
13396,1,0,3,7,23,29,62,4.258,81.45
91601,1,0,1,3,29,68,101,4.624,90.6
91603,1,0,1,4,33,66,104,4.577,89.425
28358,1,1,6,7,22,55,91,4.363,84.075
4528,1,6,2,2,20,34,64,4.156,78.9
197285,1,0,0,4,7,17,28,4.464,86.6
27284,1,0,1,3,31,45,80,4.5,87.5
60887,1,3,2,11,45,66,127,4.331,83.275
188771,1,0,0,1,2,11,14,4.714,92.85
110107,1,0,0,0,3,14,17,4.824,95.6
10079,1,4,1,5,11,17,38,3.947,73.675
151809,1,0,0,1,6,6,13,4.385,84.625
68699,1,0,0,3,19,27,49,4.49,87.25
151824,1,0,0,2,5,18,25,4.64,91.0
28340,1,0,1,2,24,71,98,4.684,92.1
39987,1,2,1,3,10,24,40,4.325,83.125
68512,1,0,0,3,17,35,55,4.582,89.55
209038,1,0,0,4,7,18,29,4.483,87.075
13404,1,2,0,3,8,21,34,4.353,83.825
38367,1,0,2,4,17,22,45,4.311,82.775
29682,1,1,0,4,11,23,39,4.41,85.25
62278,1,2,1,4,8,23,38,4.289,82.225
2211,1,2,2,6,34,67,111,4.459,86.475
23070,1,4,1,8,12,20,45,3.956,73.9
78278,1,0,1,0,5,6,12,4.333,83.325
68518,1,2,1,4,20,54,81,4.519,87.975
68509,1,1,0,7,28,49,85,4.459,86.475
116625,1,0,0,2,2,6,10,4.4,85.0
24155,1,0,0,1,6,11,18,4.556,88.9
41404,1,2,0,5,18,23,48,4.25,81.25
10975,1,0,3,5,21,23,52,4.231,80.775
23687,1,1,1,6,31,20,59,4.153,78.825
72968,1,1,1,1,9,19,31,4.419,85.475
62052,1,0,0,1,9,11,21,4.476,86.9
28365,1,2,1,11,21,50,85,4.365,84.125
152118,1,0,0,0,3,6,9,4.667,91.675
28225,1,1,0,4,15,42,62,4.565,89.125
8078,1,1,3,9,26,21,60,4.05,76.25
73154,1,1,0,9,34,75,119,4.529,88.225
110241,1,3,1,7,28,75,114,4.5,87.5
34947,1,0,0,2,14,42,58,4.69,92.25
181560,1,0,1,0,0,4,5,4.4,85.0
13367,1,0,0,2,7,26,35,4.686,92.15
85355,1,0,1,6,10,26,43,4.419,85.475
39995,1,0,0,2,9,19,30,4.567,89.175
12570,1,0,0,1,11,19,31,4.581,89.525
113728,1,0,2,4,18,23,47,4.319,82.975
192102,1,0,0,0,0,1,1,5.0,100.0
156996,1,0,0,0,1,8,9,4.889,97.225
36005,1,2,0,8,25,45,80,4.388,84.7
188813,1,1,0,0,2,3,6,4.0,75.0
111789,1,1,0,3,15,35,54,4.537,88.425
24158,1,0,0,0,3,9,12,4.75,93.75
28088,1,1,2,0,9,8,20,4.05,76.25
59128,1,1,0,0,8,21,30,4.6,90.0
130814,1,0,0,2,6,14,22,4.545,88.625
39997,1,0,1,2,13,9,25,4.2,80.0
12165,1,0,2,7,28,24,61,4.213,80.325
2206,1,0,0,1,6,7,14,4.429,85.725
38368,1,1,1,2,24,6,34,3.971,74.275
118856,1,0,1,2,20,34,57,4.526,88.15
183994,1,0,0,0,4,9,13,4.692,92.3
73155,1,4,1,9,50,64,128,4.32,83.0
36009,1,0,0,5,9,29,43,4.558,88.95
16521,1,0,0,1,1,8,10,4.7,92.5
25749,1,1,1,3,9,13,27,4.185,79.625
10844,1,0,0,4,9,22,35,4.514,87.85
7954,1,0,0,6,14,53,73,4.644,91.1
25276,1,1,0,2,3,6,12,4.083,77.075
4249,1,0,3,4,10,26,43,4.372,84.3
37949,1,0,0,2,5,2,9,4.0,75.0
40011,1,0,1,0,2,3,6,4.167,79.175
165633,1,2,2,1,14,25,44,4.318,82.95
62053,1,0,2,4,3,6,15,3.867,71.675
5983,1,1,1,1,11,9,23,4.13,78.25
85149,1,0,0,0,6,6,12,4.5,87.5
13411,1,1,0,9,20,53,83,4.494,87.35
68705,1,0,0,1,5,4,10,4.3,82.5
6088,1,3,2,5,12,24,46,4.13,78.25
