Brand_name,Total_positive_fragments,Total_review_fragments,Total_positive percentage,Flipkart_total_positive,Flipkart,Amazon_total_positive,Amazon
dove,3401,4547,0.747965691664834,885,26.021758306380477,2516,73.97824169361952
loreal,3590,5872,0.6113760217983651,1551,43.2033426183844,2039,56.7966573816156
pantene,1494,1926,0.7757009345794392,164,10.977242302543507,1330,89.02275769745648
