source_product_id,source,1star_count,2star_count,3star_count,4star_count,5star_count,total_count,average_5star,average_pct
HRCDY8ZGF3JRABZT,1,0,0,0,1,0,1,4.0,75.0
HRCDY8ZGKXCNZD8Z,1,1,0,0,0,0,1,1.0,0.0
HRCDY8ZGQMBE7MNN,1,1,0,1,2,5,9,4.111,77.775
HRCE8355NXNY4VGZ,1,0,0,0,1,1,2,4.5,87.5
HRCE8JZKCKQCZZH4,1,0,1,0,0,1,2,3.5,62.5
HRCE8YYDAYMQRFHQ,1,0,0,0,0,1,1,5.0,100.0
HRCEB97SQJKUQARZ,1,0,0,0,0,2,2,5.0,100.0
HRCEDUQEVXEPKEGZ,1,1,0,1,0,0,2,2.0,25.0
HRCEGHTR5DGHHTQF,1,2,0,0,0,1,3,2.333,33.325
HRCEGVR9HBWKYFPD,1,1,0,0,0,0,1,1.0,0.0
HRCEHD2HDCCWDYE5,1,0,0,0,0,1,1,5.0,100.0
HRCEJH9ZWYTFJWKN,1,0,0,0,0,1,1,5.0,100.0
HRCENAUSZSUVKESU,1,0,0,0,0,2,2,5.0,100.0
HRCENBACGF4HYDS6,1,0,0,0,1,1,2,4.5,87.5
HRCENSQ5TCGHG7G7,1,0,0,0,0,1,1,5.0,100.0
HRCEPKFJRDHFUFYY,1,0,0,0,0,1,1,5.0,100.0
HRCEPNZFDFZ9HYGT,1,0,0,0,0,1,1,5.0,100.0
HRCERPV3RPYX9KEH,1,1,0,0,0,0,1,1.0,0.0
HRCEV2H5NHXTGPX2,1,0,1,0,0,2,3,4.0,75.0
HRCEWEPCSYHQDYGX,1,1,0,0,0,0,1,1.0,0.0
HRCEWFY6GPHJPT75,1,1,0,1,0,1,3,3.0,50.0
HRCEX2CDGGHV5TXD,1,0,0,0,0,2,2,5.0,100.0
HRCEZDFTGEHEYWKE,1,0,0,0,1,0,1,4.0,75.0
HRCEZVB4FUSSDXGG,1,0,0,0,0,3,3,5.0,100.0
76397,1,0,0,0,0,2,2,5.0,100.0
221315,1,0,0,0,0,2,2,5.0,100.0
110495,1,0,0,0,0,1,1,5.0,100.0
60557,1,0,0,0,4,8,12,4.667,91.675
7636,1,0,0,0,0,2,2,5.0,100.0
110459,1,0,0,0,0,3,3,5.0,100.0
28320,1,0,0,0,0,6,6,5.0,100.0
208164,1,0,0,0,0,1,1,5.0,100.0
6293,1,0,0,0,0,1,1,5.0,100.0
158820,1,0,0,1,1,2,4,4.25,81.25
30737,1,0,0,0,0,2,2,5.0,100.0
23793,1,0,0,0,0,1,1,5.0,100.0
72193,1,0,0,0,0,3,3,5.0,100.0
208165,1,0,0,0,0,1,1,5.0,100.0
23374,1,0,0,0,0,1,1,5.0,100.0
26650,1,0,0,0,1,5,6,4.833,95.825
141226,1,0,0,0,0,1,1,5.0,100.0
161318,1,0,0,0,0,1,1,5.0,100.0
192151,1,0,0,0,0,1,1,5.0,100.0
141229,1,0,0,0,1,0,1,4.0,75.0
23795,1,0,0,0,0,1,1,5.0,100.0
23378,1,0,0,0,0,1,1,5.0,100.0
22762,1,0,0,0,1,8,9,4.889,97.225
22763,1,0,0,0,4,4,8,4.5,87.5
208169,1,0,0,0,0,1,1,5.0,100.0
167704,1,0,1,0,1,1,3,3.667,66.675
200446,1,0,0,0,0,1,1,5.0,100.0
48111,1,0,0,0,0,1,1,5.0,100.0
192148,1,0,0,0,0,1,1,5.0,100.0
30907,1,0,0,0,1,2,3,4.667,91.675
23082,1,0,0,0,2,0,2,4.0,75.0
128139,1,0,0,1,1,0,2,3.5,62.5
91538,1,0,0,0,0,1,1,5.0,100.0
3756,1,0,0,0,0,1,1,5.0,100.0
531,1,0,0,1,1,2,4,4.25,81.25
85097,1,0,0,0,0,1,1,5.0,100.0
HRCEGVRAUQZXESYU,1,0,0,0,0,1,1,5.0,100.0
23078,1,0,0,0,0,1,1,5.0,100.0
91539,1,0,0,0,0,1,1,5.0,100.0
